id_property,name,path,stars,address,country,city,latitude,longitude,rating,subratings,trip_types
101,Castilla,https://d3ony5rmo3oa45.cloudfront.net/big/5577/5577589.jpg,2,"Paseo de la Cuba, 3",es,ALBACETE,38.997069,-1.852598,3.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_sleep"",""value"":""3.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_room"",""value"":""3.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""20"",""localized_name"":""Business""},{""name"":""couples"",""value"":""35"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""6"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""14"",""localized_name"":""Family""},{""name"":""friends"",""value"":""10"",""localized_name"":""Friends getaway""}]"
103,Altozano,https://d3ony5rmo3oa45.cloudfront.net/big/5577/5577657.jpg,1,"Plaza del Altozano, 7",es,ALBACETE,38.994699,-1.854706,3.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_sleep"",""value"":""3.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_room"",""value"":""3.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_cleanliness"",""value"":""3.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""10"",""localized_name"":""Business""},{""name"":""couples"",""value"":""13"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""10"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""7"",""localized_name"":""Family""},{""name"":""friends"",""value"":""12"",""localized_name"":""Friends getaway""}]"
104,Hotel Restaurante Emilio,https://d3ony5rmo3oa45.cloudfront.net/big/5578/5578104.jpg,3,"CARRETERA DE JAEN,23  ",es,HELLIN,38.506162,-1.707372,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_location"",""value"":""3.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_service"",""value"":""3.5"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""4"",""localized_name"":""Business""},{""name"":""couples"",""value"":""9"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""3"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""6"",""localized_name"":""Family""},{""name"":""friends"",""value"":""3"",""localized_name"":""Friends getaway""}]"
106,Flor De La Mancha,https://d3ony5rmo3oa45.cloudfront.net/big/141/1414378.jpg,2,"Alfredo Atienza, 139",es,LA RODA,39.2017823,-2.1489843,3.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_sleep"",""value"":""3.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.0.gif"",""name"":""rate_location"",""value"":""3.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_service"",""value"":""3.5"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""6"",""localized_name"":""Business""},{""name"":""couples"",""value"":""7"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""1"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""2"",""localized_name"":""Family""},{""name"":""friends"",""value"":""4"",""localized_name"":""Friends getaway""}]"
107,Hotel Enoturismo de Mainetes,https://d3ony5rmo3oa45.cloudfront.net/big/5577/5577729.jpg,3,"Paraje Mainetes,s/n  ",es,FUENTE ALAMO,38.692212,-1.46614,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_sleep"",""value"":""4.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_value"",""value"":""3.5"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""0"",""localized_name"":""Business""},{""name"":""couples"",""value"":""45"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""0"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""4"",""localized_name"":""Family""},{""name"":""friends"",""value"":""3"",""localized_name"":""Friends getaway""}]"
108,HG Lomo Blanco,https://d3ony5rmo3oa45.cloudfront.net/big/5577/5577717.jpg,2,"GUADARFIA,1  ",es,PUERTO DEL CARMEN ,28.923044,-13.664521,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_location"",""value"":""4.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""3"",""localized_name"":""Business""},{""name"":""couples"",""value"":""357"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""9"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""218"",""localized_name"":""Family""},{""name"":""friends"",""value"":""74"",""localized_name"":""Friends getaway""}]"
109,Luz y Mar,https://d3ony5rmo3oa45.cloudfront.net/big/5577/5577740.jpg,2,"Juan Carlos I, 18",es,PUERTO DEL CARMEN,28.924043,-13.665407,3.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_location"",""value"":""4.0"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_sleep"",""value"":""3.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_room"",""value"":""3.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_service"",""value"":""3.5"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_cleanliness"",""value"":""3.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""0"",""localized_name"":""Business""},{""name"":""couples"",""value"":""65"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""7"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""37"",""localized_name"":""Family""},{""name"":""friends"",""value"":""14"",""localized_name"":""Friends getaway""}]"
110,Molino de Guatiza,https://d3ony5rmo3oa45.cloudfront.net/big/5578/5578009.jpg,1,"LAS ROSAS,6  ",es,COSTA TEGUISE,28.99558292,-13.49574655,4.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_sleep"",""value"":""4.0"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_room"",""value"":""4.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_value"",""value"":""4.5"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_cleanliness"",""value"":""4.0"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""1"",""localized_name"":""Business""},{""name"":""couples"",""value"":""113"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""12"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""34"",""localized_name"":""Family""},{""name"":""friends"",""value"":""26"",""localized_name"":""Friends getaway""}]"
111,Ereza Apartamentos La Avenida,https://d3ony5rmo3oa45.cloudfront.net/big/141/1414549.jpg,2,"Playa Blanca,s/n  ",es,PLAYA BLANCA,28.861838,-13.831666,5.0,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss5.0.gif"",""name"":""rate_room"",""value"":""5.0"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss5.0.gif"",""name"":""rate_service"",""value"":""5.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss5.0.gif"",""name"":""rate_value"",""value"":""5.0"",""localized_name"":""Value""}]","[{""name"":""business"",""value"":""0"",""localized_name"":""Business""},{""name"":""couples"",""value"":""0"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""0"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""1"",""localized_name"":""Family""},{""name"":""friends"",""value"":""0"",""localized_name"":""Friends getaway""}]"
112,Atlantis Las Lomas,https://d3ony5rmo3oa45.cloudfront.net/big/5577/5577877.jpg,2,"Tinguatón, 7",es,PUERTO DEL CARMEN,28.92226516,-13.66289377,3.5,"[{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.5.gif"",""name"":""rate_location"",""value"":""4.5"",""localized_name"":""Location""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_sleep"",""value"":""3.5"",""localized_name"":""Sleep Quality""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_room"",""value"":""3.5"",""localized_name"":""Rooms""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_service"",""value"":""4.0"",""localized_name"":""Service""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss4.0.gif"",""name"":""rate_value"",""value"":""4.0"",""localized_name"":""Value""},{""rating_image_url"":""https:\/\/static.tacdn.com\/img2\/ratings\/traveler\/ss3.5.gif"",""name"":""rate_cleanliness"",""value"":""3.5"",""localized_name"":""Cleanliness""}]","[{""name"":""business"",""value"":""0"",""localized_name"":""Business""},{""name"":""couples"",""value"":""226"",""localized_name"":""Couples""},{""name"":""solo"",""value"":""12"",""localized_name"":""Solo travel""},{""name"":""family"",""value"":""199"",""localized_name"":""Family""},{""name"":""friends"",""value"":""80"",""localized_name"":""Friends getaway""}]"
